Index,ID,User_ID,Friends_Count,Favourites_Count,Listed_Count,Status_Count,Created_at,Retweet_Count,Favourite_Count,Created_at,Text
86,1094098568296697857,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,3,2019-02-09 05:00:00,Acting U.S. attorney general says he has not interfered in the Mueller probe that he is overseeing.… https://t.co/abFbRjJ0PA
87,1094091017140269057,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,5,18,2019-02-09 04:30:00,"""He never worked a day in his life:"" Warren Dahl, who became one of the best-known meat cutters in Minneapolis than… https://t.co/kBdMM4KdW8"
88,1094087242048589824,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,6,2019-02-09 04:15:00,Scandals drive calls for Virginia's top leaders to resign.  https://t.co/NSzE112TpY https://t.co/nzaDvbJJ2Y
89,1094083215369728000,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,25,23,2019-02-09 03:59:00,Two Minneapolis women convicted of operating fradulent personal care attendant agencies as part of largest Medicaid… https://t.co/cUx9I0qAef
90,1094079692548632576,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,13,61,2019-02-09 03:45:00,Holocaust survivor now living in Minnesota will receive an FBI award for civil-rights activism.… https://t.co/oPumHsnqXj
91,1094075918077906945,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,2,3,2019-02-09 03:30:00,"Dakota County hopes program reaching out to families, connecting them with help can be a model.… https://t.co/0MZgHgC5L7"
92,1094068380590661634,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,8,25,2019-02-09 03:00:03,"Minnesota has its first First Lady since 2010, and Gwen Walz is taking a big role in the new administration.… https://t.co/IG2AP3ybbX"
93,1094064592685285376,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,12,2019-02-09 02:45:00,Rescue tale of schnauzer lost in below-freezing temperatures comes with a twist. https://t.co/8K5lnmbxFn https://t.co/z0FiWLPD2C
94,1094060818218602496,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,1,2019-02-09 02:30:00,Twin Cities homebuilders were bullish on single-family homes in January. https://t.co/5VzenULpsg https://t.co/t7kQBTPQ2m
95,1094057043105845248,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,0,2019-02-09 02:15:00,"Researchers seek fuller picture of first Africans in America, who came almost 400 years ago. https://t.co/qWQ0lJatUU https://t.co/VoP47WRvIi"
96,1094055281724542977,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,4,2019-02-09 02:08:00,"U.S., North Korean negotiators to meet again before Trump-Kim summit in Hanoi this month. https://t.co/YDgHE5oQ1Q https://t.co/E5Z3vIEheb"
97,1094051506431639552,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,2,4,2019-02-09 01:53:00,"Former Fleetwood Mac guitarist Lindsey Buckingham undergoes open heart surgery, has damage to his vocal cords.… https://t.co/kBWwSBmjiM"
98,1094049493450932232,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,1,2019-02-09 01:45:00,"Head-on crash between pickup, semitrailer truck on icy Hwy. 61 in Wabasha County is a fatal one. https://t.co/i4u8eCNT42"
99,1094045718954815488,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,5,2,2019-02-09 01:30:00,St. Paul man now charged with shooting a school bus driver on I-35W had killed armed robber in 2015.… https://t.co/5rc9trw92A
100,1094041943523262465,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,3,0,2019-02-09 01:15:00,"Canadian serial killer of gay men is sentenced, leaving Toronto shocked and asking questions.… https://t.co/02vSqq9ZMP"
101,1094038672452845569,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,7,2019-02-09 01:02:00,"Minnesota lawmakers, Gov. Tim Walz want to replenish funding for tax credits to spur business investments.… https://t.co/gXCjhsEEoh"
