Index,Source,P/C,,,,Count
315,"""AP photo\/Matt Sayles""",Professional - ap,,,,1
316,"""Steven M. Falk\/Philadelphia Inquirer""",Professional - philadelphia inquirer,,,,3
317,"""Bill Wade\/Post-Gazette""",Professional - gazette,,,,3
318,"""Keith Srakocic\/Associated Press""",Professional - associated press,,,,3
319,"""Sean Gallup\/Getty Images""",Professional - getty,,,,1
320,"""courtesy of Evanescence""",                              ,,,,1
321,"""courtesy of Shore Fire Media""",Professional - media,,,,1
322,(John Heller\/Post-Gazette),Professional - gazette,,,,1
323,"""courtesy of Sammy Hagar & the Circle""",Professional - sammy hagar & the circle,,,,1
324,"""BBC\/Lookout Point\/Laurence Cendr""",                              ,,,,1
325,"<p>The Drone Academy&rsquo;s host is CoLab18, a co-working space for North Siders; 18 refers to the number of North Side neighborhoods.<\/p>\n<p>The students are using three small drones&nbsp;&mdash; the 2-pound Mavic; the Tello, at about a pound, and the Inductrix, which sits in the palm of your hand and looks vaguely like a snowflake ornament with a pig tail. Every drone has different capacity, endurance and range.<\/p>\n<p>The curriculum includes writing programs, coding and building drones from a kit and from a 3D prototype. The students are still getting the hang of the order and fit of rotors and motors and the finesse of piloting.<\/p>\n<p>They are learning physics in the process, working toward taking the Federal Aviation Administration exam, which costs $150. Passing it could launch these teenagers into jobs or self-employment in one of the country&rsquo;s fastest growing industries.<\/p>\n<p>Drones have become such big business that recreational use is not keeping up.&nbsp;Goldman Sachs forecasts a $100 billion market opportunity for the drone industry by 2020, the lion&rsquo;s share currently in the military. The greatest growth is in the commercial sector, which is expected to spend $13 billion putting drones to work by 2020, according to the same report.<\/p>\n<p>Drones have been widely used by photographers and filmmakers, for spying and to make military strikes, but their use has expanded into many fields, including the sciences.<\/p>\n<div class=\""pg-embedcode-largeimage\"" style=\""display: none;\""><a class=\""pg-embedcode-largeimage-imgwrapper\"" target=\""_blank\"" data-pg-embedcode-largeimage-behavior=\""\""><img src=\""https:\/\/www.post-gazette.com\/image\/2019\/01\/19\/1000x\/20190118scDrones-03-2-1\"" alt=\""drones\"" \/><\/a><span class=\""pg-embedcode-largeimage-text\""><span class=\""pg-embedcode-largeimage-caption\"">Marquis Green, 15, a student at Urban Pathways, disassembles his drone during Citizen Science Lab on Thursday, Jan. 17, 2019, at CoLab18 in the North Side. ",Professional - gazette,,,,1
326,""" Jessie Wixon""",                              ,,,,1
327,"""B Jarold & Company""",Professional - company,,,,1
328,"""Loloi""",Professional - loloi,,,,1
329,"""Weisshouse""",Professional - weisshouse,,,,1
330,"""Loloi """,Professional - loloi,,,,1
